						Accept Condition							Refuse Condition							Soften Condition	Harden Condition
217	Mobilisation de 500 000 hommes	Militarist	Ils partiront 500 000, et reviendront probablement moins nombreux mais courronés de gloire ! Leurs parents nous détesterons, mais quelle opportunité pour abaisser le chômage !	2		52	8	-8	3	3	0	4000	-1	-5	6	3	-4	-6	0	-1	-1
218	Taxe sur l'Effort de Guerre	Militarist	Notre économies et nos citoyens doivent soutenir ceux qui défendent la France à travers le Monde, pour pallier à l'augmentation des dépenses miliaires, cette taxe est un impératif absolu !	1		50	9	-8	11	0	0	6400	-1	-5	6	3	0	-6	0	-1	-1
219	Loi Martiale permanente	Militarist	L'ennemi est partout autour de nous, voire infiltré parmis nous. Nos concitoyens sont en danger, c'est donc la mort dans l'âme que nous vous implorons de bien vouloir nous laisser mettre en oeuvre une loi martiale permanente ... Mais soyez assurés que notre détermination n'a jamais été plus grande.	3			17	-13	22	9	2	0	-1	-5	13	3	-7	-6	8000	-1	-1
220	Création d'une autorité de contrôle des discriminations à l'embauche	Liberals	Mise en place de contrôles aléatoire sur les entrerprises soupsonnées de discriminations à l'embauche. Globalement appréciée, les employeurs font valoir une augmentation du coût de recrutement au vu de l'examen drastique auquel ils sont contraints.	0		54	0	3	-4	3	0	1000	-1	2	0	0	-4	0	0	-1	-1
221	CV anonymisé obligatoire	Liberals	Les entrerprises de plus de 10 salariés vont devoir pratiquer à l'anonymisation des CV, pour éviter que l'origine des candidats ne les influencent dans leur choix. Globalement appréciée, les employeurs font valoir une augmentation du coût de recrutement.	1		55	0	3	-4	3	0	1000	-1	2	0	0	-4	0	0	-1	-1
222	Quotas d'employés issus de minorités	Liberals	Critiqués pour leur propention à récriminer la discrimination en la pratiquant, ils sont néanmoins utiles pour insérer massivement des minorités mise sur le côté. On ne connaît pas leurs effets à moyen terme.	2		56	0	7	-8	7	0	0	-1	2	3	0	-4	0	6400	-1	-1
223	Peines de prison pour discriminations à l'embauche	Liberals	Radical, l'emprisonnement des fautifs de dicrimination à l'embauche devrait grandement réduire le phénomène.	3			-3	11	-12	3	0	0	-1	0	6	0	-4	0	20000	-1	-1
224	Reconnaissance du Burn-out comme maladie professionnelle	Liberals	Un des fléau de ce siècle. Le peuple vous remerciera, les employeurs seront plus sceptiques.	0		58	0	3	-4	3	0	0	-1	0	-4	3	6	-4	3200	-1	-1
225	Taxe anti Burn-out	Liberals	On taxe bien le tabac, pourquoi pas les mauvais employeurs. Le peuple vous remerciera, les employeurs grogneront.	1		59	0	7	-8	6	0	0	-1	0	-4	3	6	-4	3200	-1	-1
226	Pénalisation du Burn-out pour l'employeur	Liberals	Reconnaitre le Burn-out comme un crime permettra de juger les employeurs coupables comme tel. Le peuple vous remerciera, les employeurs hurleront en privé de peur d'avoir un procès.	2		60	0	11	-12	2	0	0	-1	0	-6	3	6	0	6400	-1	-1
227	Peines de prison pour cadre de travail inhumain	Liberals	Tuer est un crime, le dirigeant d'Orange sont donc coupables. Le peuple vous remerciera, les employeurs grogneront mais derrière les barreaux pour certains.	3			0	12	-15	3	0	0	-1	0	-5	3	10	0	6400	-1	-1
228	Défiscalisation des heures supplémentaires	Liberals	Travailler plus pour gagner plus !	0		62	-3	7	3	-4	0	8000	-1	2	-2	-4	3	0	1000	-1	-1
229	Suppressions des charges patronales	Liberals	Avec moins de charges, les employeurs vont enfin pouvoir recruter (ou augmenter les dividendes).	1		63	-9	7	3	2	0	8000	-1	5	-6	-4	-7	0	1000	-1	-1
230	Suppression des minimums salariaux	Liberals	Une contrainte de moins pour un pays plus compétitif. Le peuple vous détestera, mais vous lui aurez rendu service.	1		64	0	-12	7	3	0	20000	-1	0	10	-5	-11	0	1000	-1	-1
231	Légalisation des stages gratuits	Liberals	Car apprendre est la plus grande des récompenses.	2		65	0	-12	11	3	-3	32000	-1	0	10	-9	-14	0	1000	-1	-1
232	Légalisation du travail gratuit	Liberals	Pour enfin être plus compétitif que le Bengladesh !	3			0	-13	18	0	-3	40000	-1	0	13	-12	-17	0	1000	-1	-1
233	Réduction de l'imposition sur le bénéfice	Liberals	Car nous ne saurions voler le pain à la bouche des actionnaires.	0		67	-3	0	3	0	0	8000	-1	2	-3	0	-4	0	0	-1	-1
234	Suppression de l'impôt sur les sociétés	Liberals	Pas la peine de les imposer, elles ont déjà financé notre campagne.	1		68	-6	0	7	0	0	8000	-1	4	-4	0	-4	0	0	-1	-1
235	Suppression de la TVA	Liberals	Elle devrait faire du bien à tout le monde, mais pas à nos revenus.	2		69	-10	11	15	0	0	12000	-1	10	-11	0	-4	0	0	-1	-1
236	Suppression de la notion d'Impôts	Liberals	Position difficilement tenable, nous devrions néanmoins survivre en nous en tenant aux fonctions régaliennes.	3			-25	11	-27	0	0	32000	-1	10	-12	0	-4	0	0	-1	-1
237	TVA augmentée sur les produits de luxe	Socialist	De toute façon on se les fait offrir les costumes ...	0		71	2	-4	-4	0	0	1600	-1	2	-5	3	0	0	8000	-1	-1
238	Augmentation de l'impôt sur la fortune	Socialist	Les vrais ne le paient pas de toute façon ...	1		72	6	-8	-4	0	0	0	-1	5	-4	3	0	0	16000	-1	-1
239	Augmentation de l'impôt successoral (jusqu'à 80 % par paliers)	Socialist	Augmentation de l'impôt successoral jusqu'à 80 % par paliers de revenus. Assez impopulaire, vous pourrez cependant pouvoir y échapper en diversifiant aux Îles Caïman ...	2		73	8	-12	0	0	0	0	-1	5	-5	3	0	0	24000	-1	-1
240	Limitation du capital privé	Socialist	Plafonnement de la fortune individuelle à 500 000 (pensez vite à faire sortir l'argent du pays si ce n'est pas déjà fait)	3		74	9	-13	-12	0	0	0	-1	5	-5	4	3	0	40000	-1	-1
241	Interdiction de la propriété privée	Socialist	Sauf pour les sages du conseil, cela va de soit.	4			12	-23	-19	0	0	0	-1	5	13	4	3	0	80000	-1	-1
242	Participation obligatoire des employés dans leur entreprise (actions)	Socialist	Obtention systématique et obligatoire d'action de la société à ses employés, quelle que soit sa taille.	0		75	0	7	3	0	0	0	-1	4	-3	2	3	0	2400	-1	-1
243	Actions à prix réduits pour les employés	Socialist	Tous les ans, dans le cadre de la distribution d'actions, les employés devront pouvoir obtenir quelques actions à moitié prix. Les patrons vont détester.	1		76	0	11	-4	0	0	0	-1	4	-4	5	3	0	2400	-1	-1
244	Collectivisation des moyens de productions pour les employés	Socialist	L'Internationnale sera le genre humain.	2		77	6	12	11	7	0	0	-1	5	-5	5	0	0	2400	-1	-1
245	Nationalisation des moyens de productions	Socialist	Prochaine étape : la dékoulakisation !	3		78	17	-8	18	3	0	0	-1	5	-5	5	13	0	40000	-1	-1
246	Taxation des importations issue d'un commerce non-équitable	Socialist	Car la France doit éclairer le monde de ses Lumières. Une mesure protectionniste efficace dont l'effet sera une hausse des prix.	0		80	6	-8	11	3	2	1000	-1	-6	-13	6	3	0	4800	-1	-1
247	Interdiction des importations issue d'un commerce non-équitable	Socialist	Parce que finalement, c'est trop compliqué à gérer. Une mesure protectionniste efficace dont l'effet sera une forte hausse des prix, voire la disparition de certains produits.	1			-6	-12	18	10	2	1000	-1	-6	-20	6	0	0	6400	-1	-1
248	Taxation des importations étrangères	Militarist	Aliexpress va devenir plus cher ... ou pas.	0			6	7	7	3	0	1000	-1	-5	-7	-7	-4	0	3200	-1	-1
249	Préférence nationale pour les marchés publics	Militarist	Une mesure protectionniste bonne pour le marché nationnale, mais qui augmente nos dépenses.	0		83	0	7	7	6	0	1600	-1	0	-7	-7	-7	0	3200	-1	-1
250	Limitations des importations	Militarist	Ca commence à devenir chaud d'acheter chinois	1		84	-3	7	7	9	0	1600	-1	-6	-7	-7	-11	0	3200	-1	-1
251	Interdiction des importations	Militarist	De toute façon, les téléphones Samsung n'arrêtent pas d'exploser ... ça ne serait jamais arrivé avec un Alcatel !	2			-3	-13	15	10	0	0	-1	-6	13	-14	-14	0	3200	-1	-1
252	Subventions aux énergies renouvelables	Ecologist	Investissement d'avenir, générateur d'emploi, ... Mais pas gratuit pour l'État !	0		86	-3	3	7	3	0	0	-1	2	-11	3	4	3	4000	-1	-1
253	Taxe aux énergies fossiles	Ecologist	Rémunérateur pour nous, mais tout le monde va détester !	1		87	2	-4	-4	-4	0	0	-1	4	-11	6	4	3	4800	-1	-1
254	Taxe carbone	Ecologist	Rémunérateur pour nous, mais tout le monde va détester !	2		88	6	-8	-8	-4	0	0	-1	5	-14	4	4	3	3200	-1	-1
255	Sortie du Nucléaire	Ecologist	Couteux, mais terreau propice à l'emploi.	3		89	-6	7	0	3	0	0	-1	5	-14	11	5	3	3200	-1	-1
256	Tout renouvelable	Ecologist	Une formidable opportunitée pour l'emploi.	4			-6	12	0	3	0	0	-1	5	-14	11	5	3	64000	-1	-1
257	Classe bilingues	Liberals	Vues comme élitistes par certains, les libéraux y voient une nécessité.	0		91	-3	3	3	0	2	1000	-1	4	-7	3	-4	0	0	-1	-1
258	Classe de 6ème option Médecine Nucléaire	Liberals	L'élite de demain se prépare aujourd'hui (même s'il y a un risque pour l'égalité des chances)	1		92	-3	7	3	0	2	8000	-1	4	0	3	-4	0	0	-1	-1
259	Subvention des lycées privés	Liberals	Nos enfants méritent ce qu'il y a de meilleur, les votres devront se contenter du reste.	1		93	-6	3	3	-4	2	20000	-1	4	-4	3	3	0	0	-1	-1
260	Privatisation de l'enseignement secondaire	Liberals	Les libéraux applaudiront, le peuple voudra notre peau à moins tant qu'il ne sera pas encore ignorant	2		94	8	-8	11	-8	2	32000	-1	5	-7	6	3	0	0	-1	-1
261	Privatisation de l'enseignement supérieur	Liberals	Pour des chercheurs qui trouvent enfin !	3			17	-13	15	-9	2	40000	-1	5	-14	8	3	0	0	-1	-1
262	Enseignement du créationnisme	Religious	Nos enfants ne peuvent ignorer les deux théories principales sur la question si nous voulons qu'ils puissent choisir. Le peuple appréciera peu globalement, les religieux seront ravis	0		96	0	-8	0	0	6	20000	-1	2	3	0	0	-9	0	-1	-1
263	Interdiction de l'enseignement de la théorie de l'évolution	Religious	Car il y avait des dinosaures au jardin d'Eden.	1			0	-12	0	0	9	3200	-1	2	3	0	0	-11	0	-1	-1
264	Prière scolaire obligatoire	Religious	Les jeunes aimeront, ça fait perdre quelques minutes de cours.	0		98	0	-13	0	0	15	3200	-1	2	3	0	0	-24	0	-1	-1
265	Enseignement par les moines	Religious	Ils ont su si bien le faire pendant des siècles, laissons-leur cette charge.	1			0	-19	0	0	12	40000	-1	2	10	0	0	-24	0	-1	-1
266	Enseignement optionnel du Latin	Religious	Car la France est un pays de culture latine. Les opposants à cette mesure feront valoir son élitisme, les catholiques apprécieront de pouvoir comprendre trois mots à la messe en latin.	0		100	-3	7	0	0	2	3200	-1	-3	-4	0	3	-4	6400	-1	-1
267	Enseignement obligatoire du Latin	Religious	Cette fois-ci, l'égalité des chances est parfaite, mais le problème est peut-être ailleurs.	1		101	-3	-4	0	0	6	3200	-1	2	3	0	3	-4	8000	-1	-1
268	Etudes bibliques en latin obligatoire	Religious	Sans considérer la question religieuse, cet ouvrage fondateur de la civilisation occidentale saura délivrer une connaissance à ceux qui sauront lire entre les lignes. Les autres seront parfaitement blasés ou enthousiastes selon leur foi.	2			-3	-7	0	0	9	3200	-1	2	3	0	3	-9	6400	-1	-1
269	Messe en latin obligatoire à l'école	Religious	Si possible à la place du Sport.	2		103	-3	-12	0	0	15	3200	-1	2	3	0	0	-9	3200	-1	-1
270	Confessions en latin obligatoires avant les cours	Religious	Un temps de receuillement indispensable au bien être de nos chères têtes blondes.	3			-3	-15	0	0	12	6400	-1	2	6	0	0	-9	4800	-1	-1
271	Service civique obligatoire	Militarist	Un juste retour sur notre investissement dans la jeunesse, de plus les jeunes en service civique ne sont pas comptés dans les chiffres du chômage.	0		105	6	-6	-4	0	0	4000	-1	-3	3	3	0	3	0	-1	-1
272	Service militaire obligatoire (6 mois)	Militarist	Idéal pour apprendre les vrais valeurs à la jeunesse, certains risquent de ne pas apprécier	1		106	6	-6	-4	0	0	4000	-1	-5	6	3	0	3	0	-1	-1
273	Service militaire obligatoire (2 ans)	Militarist	Le devoir de tout citoyen.	2		107	8	-9	-4	0	0	8000	-1	-5	6	3	0	3	0	-1	-1
274	Conscription volontaire	Militarist	Enrollement volontaire de tout citoyen de bonne volonté	2		108	9	-12	-4	0	0	8000	-1	-5	13	6	3	3	0	-1	-1
275	Conscription forcée	Militarist	Enrollement forcé de tout citoyen, pour la vie, car nous sommes tous éternellement redevables à la nation.	3			17	-15	-4	0	2	24000	-1	-5	20	6	3	3	0	-1	-1
276	Revalorisation du montant des bourses universitaires	Socialist	Augmente l'égalité des chances, mais pèse sur nos dépenses.	0		110	-9	11	7	6	0	1000	-1	5	-11	-7	-7	-7	4000	-1	-1
277	Gratuité de l'Enseignement Supérieur pour tous	Socialist	Supprime l'inégalité des chances, mais pèse lourdement sur nos dépenses.	1			-18	18	11	3	0	1000	-1	10	-17	-11	-14	-9	6400	-1	-1
278	Enseignement du tri sélectif	Ecologist	Sensibilisation de la jeunesse au dévelopement durable, dans l'espoir qu'ils éduquent leurs parents. Bon pour le marché du recyclage.	0		112	-6	7	7	3	0	1000	-1	4	-7	-7	-4	0	8000	-1	-1
279	Bourses d'études pour les énergies renouvelables	Ecologist	Bon pour tout le monde, sauf les dépenses publiques.	1			-10	12	18	4	0	1600	-1	10	-14	-17	-11	0	8000	-1	-1
280	Revalorisation des aides à la création d'entreprise	Liberals	Permet à l'économie de se développer au dépend des dépenses publiques.	0		114	-6	-2	7	3	0	1600	-1	4	-4	-7	-4	0	8000	-1	-1
281	Défiscalisation des jeunes entreprises	Liberals	Permet à l'économie de se développer fortement au dépend de lourdes dépenses publiques.	1		115	-9	-2	11	3	0	1600	-1	5	-4	-11	-4	0	8000	-1	-1
282	Financement systématique des jeunes entreprises	Liberals	Permet un boom économique au prix de très lourdes dépenses publiques.	2		116	-10	-2	15	6	0	1600	-1	10	-4	-14	-7	0	16000	-1	-1
283	Subvention à l'envie de créer une entreprise	Liberals	Un plan de relance à lui seul au prix de dépenses publiques démentielles.	3		-1	-18	3	18	6	0	2400	-1	10	-4	-17	-7	0	8000	-1	-1
284	Suppression de la Sécurité Sociale	Liberals	Suppression des cotisations publiques de la sécurité sociale par un système de mutuelles.	0		-1	12	-13	15	-8	0	40000	-1	-21	20	-14	6	8	0	-1	-1
285	Limitation des allocations familiales	Liberals	Appauvrit les familles nombreuses mais soulage le budget de l'état. Les enfants n'auront qu'à distribuer des journaux.	0		119	6	-8	-8	0	-3	16000	-1	4	8	3	0	-4	0	-1	-1
286	Suppression des allocations familiales	Liberals	Appauvrit grandement les familles nombreuses mais soulage le budget de l'état. Les enfants n'auront qu'à faire le trottoir.	1		-1	9	-12	-12	0	-6	20000	-1	4	8	3	0	-4	1000	-1	-1
287	Universalité des allocations familiales	Religious	Favorise les familles bourgeoises, qui n'ont pas vraiment besoin de ces allocations. Augmente le niveau de vie des classes moyennes au prix de dépenses raisonanables.	0		121	-3	3	3	0	2	1600	-1	5	-4	3	0	-6	4000	-1	-1
288	Revalorisations des allocations familiales pour les familles nombreuses	Religious	Favorise des familles correspondant principalement au cadre traditionnel. Augmente nettement les dépenses de l'État.	1		122	-6	7	7	0	6	2400	-1	5	-7	3	0	-9	4000	-1	-1
289	Allocations religieuses versées au Baptême, puis à la confirmation	Religious	Récompense le bon usage des allocations familliales, augmente les dépenses fortement.	2		-1	-9	3	11	0	12	3200	-1	5	-4	0	0	-9	2400	-1	-1
290	Financement des associations d'anciens combattants	Militarist	Populaire auprès des patriotes, cette mesure aura un impact limité mais certain sur leur pouvoir d'achat.	0		124	-3	3	3	0	0	1600	-1	2	-4	-4	0	-4	3200	-1	-1
291	Revenu de solidarité pour les anciens combattants	Militarist	Populaire auprès des patriotes, cette mesure aura un impact certain sur leur pouvoir d'achat.	1		125	-6	3	3	-4	0	1600	-1	4	-4	-4	3	-4	3200	-1	-1
292	Gratuité du coût de la vie pour les anciens combattants	Militarist	Populaire auprès des patriotes, cette mesure aura un impact important sur leur pouvoir d'achat.	2		-1	-9	3	3	-8	0	1600	-1	5	-4	-4	6	-9	6400	-1	-1
293	Remédier aux déserts médicaux	Socialist	Ravira la population rurale au prix de lourd investissements. Mais la santé de nos concitoyen ne peut être sacrifiée sur l'hôtel de la rentabilité.	0		-1	-6	11	7	6	0	1600	-1	4	-11	-7	-11	3	6400	-1	-1
294	Limitation des aides à la création d'entreprise	Socialist	Délègue l'investissement une partie de l'investissement aux acteurs économiques privés : mauvais pour l'économie mais bon pour nos dépenses !	0		128	6	-4	-8	-4	0	1600	-1	-5	0	6	3	0	8000	-1	-1
295	Suppression des aides à la création d'entreprise	Socialist	Délègue l'investissement sur notre économie aux Business Angels, puissent-ils agir dans notre intérêt !	1		-1	8	-4	-15	-8	0	3200	-1	-6	0	13	6	0	0	-1	-1
296	Création de prisons privées	Socialist	Création de plus de prisons pour diminuer l'engorgement carcéral. Celles-ci seront privées et l'organisation sera laissé à la discrétion du propriétaire.	0		130	2	-4	3	-4	0	12000	-1	-3	3	-4	3	0	0	-1	-1
297	Privatisation des prisons publiques lourdement endettées	Socialist	Les prisons infonctionnelles doivent être remise en état et le gouvernement ne peut se permettre cette dépense. Avec la vente de ces prisons, de nombreux chantiers pourront être accomplis.	1		131	6	-5	7	-8	0	12000	-1	-5	3	-7	4	0	0	-1	-1
298	Privatisation des prisons publiques	Socialist	Les prisons publiques ne sont plus efficaces en comparaison des nouvelles. Le gouvernement propose donc de les privatiser elles aussi pour maximiser leur efficacité.	2		132	8	-6	11	-12	-3	12000	-1	-6	6	-11	8	0	0	-1	-1
299	Privatisation des tribunaux	Socialist	La majorité du système pénal, carcéral et judiciaire est déjà délégué de l'état. Finalisons le procédé en englobant le reste.	3		-1	9	-12	15	-15	-6	12000	-1	-11	16	-14	11	0	0	-1	-1
300	Légalisation du Cannabis pour un usage médical	Socialist	Le canabis a été prouvé pouvant être utilisable comme médicament sans nuire à la santé du consommateur. Pour rester dans l'air du temps et exploiter ce filon, le gouvernement propose sa légalisation a but médicinal dans un premier temps.	0		134	0	3	3	4	-3	4000	-1	4	-7	-4	3	3	0	-1	-1
301	Légalisation du Cannabis pour un usage récréatif	Socialist	Le canabis médicinal ayant prouvé créer beaucoup d'emplois et de revenus en taxes, l'état propose de l'autoriser également a usage récréatif.	1		135	0	7	7	4	-6	4000	-1	4	-11	-4	3	3	0	-1	-1
302	Légalisation des drogues dures pour un usage récréatif	Socialist	Les drogues douces sont controllées et encadrées. Le gouvernement propose d'étendre la loi précédente aux drogues dures, de façon a enfin pouvoir consommer légalement.	2		136	0	11	-12	0	-9	16000	-1	5	-4	-7	-4	3	0	-1	-1
303	Légalisation de l'alcool au travail	Socialist	L'alcool au volant, ca a jamais tué personne. Et puis c'est bon... hips. Il faudrait le légaliser, car marre de prendre des amendes en conduisant.	1		137	-3	12	-15	-4	-15	10400	-1	5	-4	-7	-4	8	0	-1	-1
304	Légalisation des drogues au volant	Socialist	Pis maintenant qu'on peut boire et conduire, plus besoin de choisir. Alors pourquoi devoir choisir entre boire et se piquer? Le gouvernement, et surtout moi, propose de légaliser tout ca.	2		-1	-3	18	-19	-4	-13	4000	-1	5	-4	-7	-4	8	0	-1	-1
305	Augmentation des effectifs pour le traitement des demandes d'asile	Socialist	Les migrants venant dans notre beau pays ne sont pas encadrés. Les récentes déclarations de notre président nous obligent à en accepter de plus en plus. Augmenter la vitesse des demandes d'asiles permettra d'accéler le processus complet.	0		-1	-3	-4	3	0	0	1600	-1	2	3	0	0	0	6400	-1	-1
306	Permis de séjour facilité	Socialist	Les expatriés et réfugiés sur notre sol ont du mal a pouvoir voir leur famille. Diminuer le nécessaire pour les permis de séjour permettrait de réunir plus de familles.	0		140	-6	-3	7	-4	0	1600	-1	4	6	3	0	0	6400	-1	-1
307	Naturalisation facilité	Socialist	L'intégration des étrangers s'est faite sans réel soucis. Le gouvernement propose de naturaliser ces gens travailleurs et motivés de façon à faire grimper les sondages et baisser le chômage.	1		141	-9	-6	9	-4	0	1600	-1	5	8	3	0	0	6400	-1	-1
308	Distribution dans la rue de passeports français	Socialist	Quiconque entrera sur le territoire se fera offrir immédiatement et contre avance la naturalisation. S'ils refusent, ils seront reconduis à la frontière le temps qu'ils réfléchissent de la chance qu'ils ont.	2		-1	-10	-9	9	-4	0	1600	-1	10	11	3	0	0	6400	-1	-1
309	Reconnaissance officielle de la culture judéo-chrétienne de la France comme culture nationale	Religious	La France a depuis longtemps des racines communes avec la culture judéo-chrétienne. Ses marques sont présentes dans chaque ville et village et le gouvernement estime qu'il est nécessaire de sauvegarder cette culture.	0		143	0	-4	0	0	2	4000	-1	0	3	0	0	-11	2400	-1	-1
310	Reconnaissance officielle de la culture catholique de la France comme culture nationale	Religious	Le catholiscime a été a la base de notre pays depuis plus de mille ans. Il est important d'intégrer toutes les reliques de notre passé en tant que patrimoine officiel pour le préserver.	1		144	0	-7	0	0	6	4000	-1	0	6	0	0	-9	2400	-1	-1
311	Reconnaissance officielle de la religion catholique comme religion d'état	Religious	Jésus est mort pour nos péchés. C'est un fait. La laïcité n'a mené nul part et le pays ne s'est jamais aussi bien porté que lorsqu'il avait une religion pour tous. Remettons ca.	2		145	0	-6	0	0	15	16000	-1	-3	6	0	0	-11	0	-1	-1
312	Interdiction des religions non officielles	Religious	L'état et la religion sont de nouveaux liés. Pourtant, certains s'opposent encore à la religion d'état. Pour ce faire, les autres religions sont désormais prohibés et passibles de sanctions.	3		146	0	-6	0	0	14	32000	-1	-3	10	0	0	-12	0	-1	-1
313	Inquisition	Religious	Malgré le décret précédent, de nombreuses religions sont encore pratiquées sans crainte de représailles. La création d'un nouveau système de police inquisteur permettra de débusquer et enfin chatier les infidèles.	4		-1	-6	-12	0	3	15	80000	-1	-3	13	0	0	-12	0	-1	-1
314	Interdiction de l'IVG	Religious	"Tu ne tueras point" y compris les enfants dans les ventres des femmes. Bien que les français aiment cet "liberté", les fidèles seront soulagés par cette réforme.	0		148	0	-6	0	-4	6	24000	-1	-3	2	3	0	-9	0	-1	-1
315	Interdiction du mariage homosexuel	Religious	L'insitution du mariage ayant pour but de fonder une famille, et les couples homosexuels ne pouvant procréer : c'est un non-sens de leur autoriser le mariage. La population désappouvre cette mesure, mais les croyants l'approuveront massivement.	1		149	0	-6	0	-4	15	24000	-1	-5	2	3	0	-9	0	-1	-1
316	Interdiction de l'homosexualité	Religious	L'homosexualité étant contre nature, il est inconcevable de la laisser perdurer plus longtemps. Tous les homosexuels devront donc être soignés, malgré une opposition tranchée des infidèles.	2		150	0	-9	0	-4	15	32000	-1	-9	2	3	0	-9	0	-1	-1
317	Baptême catholique obligatoire	Religious	Nul ne pouvant entrer au Royaume de Dieu s'il n'a été baptisé, il est de notre devoir d'assurer le salut de tous. Les athées seront couroucés d'être contraint à cette pratique, mais elle ne peut que leur être bénéfique.	3		-1	0	-12	0	0	14	80000	-1	-6	2	3	0	-12	0	-1	-1
318	Déchéance de nationalité pour les binationaux pour les crimes contre la nation	Militarist	Il est impensable que des criminels français et d'autres nations puissent être français après avoir attaqué notre gouvernement et ce qu'il représente. Pour ce faire, chaque criminel sera retiré la double nationalité.	0		152	0	3	0	-4	0	4000	-1	-6	3	0	0	0	0	-1	-1
319	Déchéance de nationalité systématique pour les crimes contre la nation	Militarist	Les criminels fançais ne peuvent souiller notre beau pays de leurs actes infâmes et repartir libre vivre une vie normale. A partir de ce décret, eux aussi sont considérés comme déchus de leur droit d'être français.	1		153	0	7	0	-4	0	4000	-1	-3	3	0	0	0	0	-1	-1
320	Déchéance de nationalité systématique pour les crimes graves	Militarist	La loi précédente pour les crimes contre la nation a fonctionné extremement bien. Pourtant, beaucoup d'immigrés ne se sentent pas impliqués et continuer à criminaliser nos campagnes. Les criminels graves et récidivistes seront maintenant déchus également.	1		154	0	3	0	-4	0	4000	-1	-3	3	0	0	0	0	-1	-1
321	Déchéance de nationalité sur ordonnance du Président	Militarist	Le Président estime qu'il est inconcevable que certains criminels viennent dans notre pays, deviennent français puis nous trahissent tout en restant français. Le Président demande le droit de pouvoir retirer la nationalité française sur ordre.	2		155	0	3	0	-4	0	4000	-1	-3	6	0	0	0	0	-1	-1
322	Déchéance de nationalité pour les délits mineurs	Militarist	Les criminels ne peuvent plus souiller notre beau pays. A partir de ce décret, chaque crime, chaque délit, même mineur sera puni de la peine capitale reinstaurée précédement : l'exil.	3		-1	0	-12	0	-4	0	40000	-1	-3	6	0	0	0	0	-1	-1
323	Sortie des accords de Schengen	Militarist	Les patriotes craignent une immigration massive due à une "perte de contrôle des frontières". Une telle mesure pourrait pour un gain économique intérieur faible nous exposer à de lourdes pertes extérieures.	0		-1	0	3	0	-4	0	3200	-1	2	-3	6	3	0	4000	-1	-1
324	Test de citoyenneté	Militarist	Les patriotes estiment qu'il est nécessaire de vérifier le niveau de connaissance en culture française des immigrés.	1		158	0	7	0	-4	0	3200	-1	2	-3	6	3	0	4000	-1	-1
325	Quotas d'immigration	Militarist	Les patriotes estiment que l'ont doit sauver les emplois des français en limitant l'immigration légale. Une telle mesure pourrait pour un gain économique intérieur faible nous exposer à de lourdes pertes extérieures.	1		159	-3	11	-4	-4	0	3200	-1	4	-3	6	3	3	4000	-1	-1
326	Fermeture totale des frontières	Militarist	Les patriotes estiment que l'ont doit sauver les emplois des français en fermant les frontières le temps qu'il faudra, peut-être toujours. Une telle mesure pourrait pour un gain économique intérieur faible nous exposer à de lourdes pertes extérieures.	2		-1	-6	12	-27	-8	0	3200	-1	4	-3	6	3	5	4000	-1	-1
327	Légalisation limitée de l'euthanasie	Liberals	Certains militants estiment que les patients souffrant de maladies non curables devraient sous certaines conditions pouvoir être assisté médicalement pour pouvoir partir dignement. La population semble approuver, à l'exception des religieux.	0		161	0	11	-4	0	-6	1000	-1	0	-4	0	0	5	4000	-1	-1
328	Légalisation de l'euthanasie	Liberals	Certains militants estiment que la législation actuelle est trop restrictive quant à l'autorisation d'euthanasie, ceux-ci proposent de la simplifier à un accord oral entre le médecin et le patient. La population semble approuver, à l'exception des religieux.	1		162	0	7	-4	0	-15	1000	-1	2	-7	0	0	5	4000	-1	-1
329	Droit au suicide	Liberals	Certains militants estiment qu'il n'y a aucun sens à interdire légalement le suicide. La population semble approuver, à l'exception des religieux.	2		-1	0	11	-8	2	-15	1000	-1	4	-7	0	0	8	4000	-1	-1
330	Augmentation des subventions à la culture	Liberals	L'agriculture, c'est important. La culture aussi. Pour cela, le gouvernement propose d'augmenter le budget dédié au patrimoine et a sa sauvegarde	0		164	-3	3	0	3	0	1600	-1	0	-4	3	0	0	3200	-1	-1
331	Musées nationaux gratuits pour tous	Liberals	La gratuité des musées permet à nos concitoyens les plus modestes (et les plus radins) d'accéder à la culture, c'est donc un moyen efficace de leur donner satisfaction.	1		165	-6	7	0	3	0	1600	-1	-3	-7	3	0	0	3200	-1	-1
332	Gratuité complète des bibliothèques municipales	Liberals	La gratuité des bibliothèque permet à nos concitoyens les plus modestes (et les plus radins) de s'enrichir culturellement et d'acquerir de nouvelles compétences par eux même, c'est donc un moyen efficace de leur donner satisfaction.	2		166	-9	11	0	3	0	1600	-1	0	-7	3	0	0	3200	-1	-1
333	Crédits culture pour tous les citoyens	Liberals	La mise à disposition d'un crédit culture à dépenser sur les plate-formes culturelles est un bon moyen de pousser nos concitoyen à consommer, c'est donc un moyen efficace de leur donner satisfaction.	3		-1	-10	12	7	3	0	1600	-1	4	-14	-4	0	0	3200	-1	-1
334	Augmentation de la durée du travail à 39h	Liberals	Ajout de 4 heures au temps de travail minimum d'un contrat standard, les heures ajoutées n'entrainent bien évidemment aucune hausse de salaire pour le salarié. Peu populaire, une telle réforme devrait néanmoins relancer l'économie.	0		1	0	0	6	-7	0	1500	-1	0	6	-7	-3	0	0	-1	-1
